"feature_name","feature_level","module","definition","unit","required_inputs","temporal_direction","generated_by","notes"
"Utah","Level 2 cumulative temperature daily","cumulative_temp_features","Daily chilling units from the Utah chilling model after hourly temperature reconstruction.","model units day-1","T2M_MAX, T2M_MIN","same-day reconstructed hourly temperatures",".UFEED_compute_cumulative_temp_features",""
"Utah_<window>days","Level 2 rolling sum","cumulative_temp_features","Backward-looking rolling sum of daily Utah chilling units.","model units over window","Utah","backward-looking",".UFEED_compute_cumulative_temp_features","Default windows: 3,7,14,30,60,90 days."
"Utah_dormant2d","Level 2 cumulative","cumulative_temp_features","Dormant-season-to-date cumulative Utah chilling units, capped after April 30.","model units","Utah","backward-looking/current dormant season",".UFEED_compute_cumulative_temp_features",""
"NC","Level 2 cumulative temperature daily","cumulative_temp_features","Daily chilling units from the NC chilling model after hourly temperature reconstruction.","model units day-1","T2M_MAX, T2M_MIN","same-day reconstructed hourly temperatures",".UFEED_compute_cumulative_temp_features",""
"NC_<window>days","Level 2 rolling sum","cumulative_temp_features","Backward-looking rolling sum of daily NC chilling units.","model units over window","NC","backward-looking",".UFEED_compute_cumulative_temp_features","Default windows: 3,7,14,30,60,90 days."
"NC_dormant2d","Level 2 cumulative","cumulative_temp_features","Dormant-season-to-date cumulative NC chilling units, capped after April 30.","model units","NC","backward-looking/current dormant season",".UFEED_compute_cumulative_temp_features",""
"DP","Level 2 cumulative temperature daily","cumulative_temp_features","Daily chilling units from the DP chilling model after hourly temperature reconstruction.","model units day-1","T2M_MAX, T2M_MIN","same-day reconstructed hourly temperatures",".UFEED_compute_cumulative_temp_features",""
"DP_<window>days","Level 2 rolling sum","cumulative_temp_features","Backward-looking rolling sum of daily DP chilling units.","model units over window","DP","backward-looking",".UFEED_compute_cumulative_temp_features","Default windows: 3,7,14,30,60,90 days."
"DP_dormant2d","Level 2 cumulative","cumulative_temp_features","Dormant-season-to-date cumulative DP chilling units, capped after April 30.","model units","DP","backward-looking/current dormant season",".UFEED_compute_cumulative_temp_features",""
"GDD_0","Level 2 cumulative temperature daily","cumulative_temp_features","Daily growing degree days with base temperature 0 C.","degree days","T2M_MAX, T2M_MIN","same-day reconstructed hourly temperatures",".UFEED_compute_cumulative_temp_features",""
"GDD_0_<window>days","Level 2 rolling sum","cumulative_temp_features","Backward-looking rolling sum of GDD_0.","degree days over window","GDD_0","backward-looking",".UFEED_compute_cumulative_temp_features","Default windows: 3,7,14,30,60,90 days."
"GDD_0_y2d","Level 2 cumulative","cumulative_temp_features","Growth-season-to-date cumulative GDD_0.","degree days","GDD_0","backward-looking/current growth season",".UFEED_compute_cumulative_temp_features",""
"GDD_4","Level 2 cumulative temperature daily","cumulative_temp_features","Daily growing degree days with base temperature 4 C.","degree days","T2M_MAX, T2M_MIN","same-day reconstructed hourly temperatures",".UFEED_compute_cumulative_temp_features",""
"GDD_4_<window>days","Level 2 rolling sum","cumulative_temp_features","Backward-looking rolling sum of GDD_4.","degree days over window","GDD_4","backward-looking",".UFEED_compute_cumulative_temp_features","Default windows: 3,7,14,30,60,90 days."
"GDD_4_y2d","Level 2 cumulative","cumulative_temp_features","Growth-season-to-date cumulative GDD_4.","degree days","GDD_4","backward-looking/current growth season",".UFEED_compute_cumulative_temp_features",""
"GDD_7","Level 2 cumulative temperature daily","cumulative_temp_features","Daily growing degree days with base temperature 7 C.","degree days","T2M_MAX, T2M_MIN","same-day reconstructed hourly temperatures",".UFEED_compute_cumulative_temp_features",""
"GDD_7_<window>days","Level 2 rolling sum","cumulative_temp_features","Backward-looking rolling sum of GDD_7.","degree days over window","GDD_7","backward-looking",".UFEED_compute_cumulative_temp_features","Default windows: 3,7,14,30,60,90 days."
"GDD_7_y2d","Level 2 cumulative","cumulative_temp_features","Growth-season-to-date cumulative GDD_7.","degree days","GDD_7","backward-looking/current growth season",".UFEED_compute_cumulative_temp_features",""
"GDD_10","Level 2 cumulative temperature daily","cumulative_temp_features","Daily growing degree days with base temperature 10 C.","degree days","T2M_MAX, T2M_MIN","same-day reconstructed hourly temperatures",".UFEED_compute_cumulative_temp_features",""
"GDD_10_<window>days","Level 2 rolling sum","cumulative_temp_features","Backward-looking rolling sum of GDD_10.","degree days over window","GDD_10","backward-looking",".UFEED_compute_cumulative_temp_features","Default windows: 3,7,14,30,60,90 days."
"GDD_10_y2d","Level 2 cumulative","cumulative_temp_features","Growth-season-to-date cumulative GDD_10.","degree days","GDD_10","backward-looking/current growth season",".UFEED_compute_cumulative_temp_features",""
"GDH_10","Level 2 cumulative temperature daily","cumulative_temp_features","Daily growing degree hours with base temperature 10 C, Topt 25 C and Tcrit 36 C by default.","degree hours","T2M_MAX, T2M_MIN","same-day reconstructed hourly temperatures",".UFEED_compute_cumulative_temp_features",""
"GDH_10_<window>days","Level 2 rolling sum","cumulative_temp_features","Backward-looking rolling sum of GDH_10.","degree hours over window","GDH_10","backward-looking",".UFEED_compute_cumulative_temp_features","Default windows: 3,7,14,30,60,90 days."
"GDH_10_y2d","Level 2 cumulative","cumulative_temp_features","Growth-season-to-date cumulative GDH_10.","degree hours","GDH_10","backward-looking/current growth season",".UFEED_compute_cumulative_temp_features",""
"GDH_7","Level 2 cumulative temperature daily","cumulative_temp_features","Daily growing degree hours with base temperature 7 C, Topt 25 C and Tcrit 36 C by default.","degree hours","T2M_MAX, T2M_MIN","same-day reconstructed hourly temperatures",".UFEED_compute_cumulative_temp_features",""
"GDH_7_<window>days","Level 2 rolling sum","cumulative_temp_features","Backward-looking rolling sum of GDH_7.","degree hours over window","GDH_7","backward-looking",".UFEED_compute_cumulative_temp_features","Default windows: 3,7,14,30,60,90 days."
"GDH_7_y2d","Level 2 cumulative","cumulative_temp_features","Growth-season-to-date cumulative GDH_7.","degree hours","GDH_7","backward-looking/current growth season",".UFEED_compute_cumulative_temp_features",""
"GDH_4","Level 2 cumulative temperature daily","cumulative_temp_features","Daily growing degree hours with base temperature 4 C, Topt 25 C and Tcrit 36 C by default.","degree hours","T2M_MAX, T2M_MIN","same-day reconstructed hourly temperatures",".UFEED_compute_cumulative_temp_features",""
"GDH_4_<window>days","Level 2 rolling sum","cumulative_temp_features","Backward-looking rolling sum of GDH_4.","degree hours over window","GDH_4","backward-looking",".UFEED_compute_cumulative_temp_features","Default windows: 3,7,14,30,60,90 days."
"GDH_4_y2d","Level 2 cumulative","cumulative_temp_features","Growth-season-to-date cumulative GDH_4.","degree hours","GDH_4","backward-looking/current growth season",".UFEED_compute_cumulative_temp_features",""
"GDH_0","Level 2 cumulative temperature daily","cumulative_temp_features","Daily growing degree hours with base temperature 0 C, Topt 25 C and Tcrit 36 C by default.","degree hours","T2M_MAX, T2M_MIN","same-day reconstructed hourly temperatures",".UFEED_compute_cumulative_temp_features",""
"GDH_0_<window>days","Level 2 rolling sum","cumulative_temp_features","Backward-looking rolling sum of GDH_0.","degree hours over window","GDH_0","backward-looking",".UFEED_compute_cumulative_temp_features","Default windows: 3,7,14,30,60,90 days."
"GDH_0_y2d","Level 2 cumulative","cumulative_temp_features","Growth-season-to-date cumulative GDH_0.","degree hours","GDH_0","backward-looking/current growth season",".UFEED_compute_cumulative_temp_features",""
"T2M_MAX_<EWMA_or_REWMA>_<window>_season_max","Level 2 seasonal summary","season_summary_features","Season-to-date maximum of EWMA/REWMA features derived from T2M_MAX.","same as source variable","T2M_MAX_EWMA_<window> or T2M_MAX_REWMA_<window>","backward-looking/current season",".UFEED_compute_season_summary_features",""
"Daily_Temp_Fluctuation_<EWMA_or_REWMA>_<window>_season_max","Level 2 seasonal summary","season_summary_features","Season-to-date maximum of EWMA/REWMA features derived from Daily_Temp_Fluctuation.","same as source variable","Daily_Temp_Fluctuation_EWMA_<window> or Daily_Temp_Fluctuation_REWMA_<window>","backward-looking/current season",".UFEED_compute_season_summary_features",""
"WS2M_MAX_<EWMA_or_REWMA>_<window>_season_max","Level 2 seasonal summary","season_summary_features","Season-to-date maximum of EWMA/REWMA features derived from WS2M_MAX.","same as source variable","WS2M_MAX_EWMA_<window> or WS2M_MAX_REWMA_<window>","backward-looking/current season",".UFEED_compute_season_summary_features",""
"GWETROOT_<EWMA_or_REWMA>_<window>_season_max","Level 2 seasonal summary","season_summary_features","Season-to-date maximum of EWMA/REWMA features derived from GWETROOT.","same as source variable","GWETROOT_EWMA_<window> or GWETROOT_REWMA_<window>","backward-looking/current season",".UFEED_compute_season_summary_features",""
"GWETTOP_<EWMA_or_REWMA>_<window>_season_max","Level 2 seasonal summary","season_summary_features","Season-to-date maximum of EWMA/REWMA features derived from GWETTOP.","same as source variable","GWETTOP_EWMA_<window> or GWETTOP_REWMA_<window>","backward-looking/current season",".UFEED_compute_season_summary_features",""
"TSOIL1_<EWMA_or_REWMA>_<window>_season_max","Level 2 seasonal summary","season_summary_features","Season-to-date maximum of EWMA/REWMA features derived from TSOIL1.","same as source variable","TSOIL1_EWMA_<window> or TSOIL1_REWMA_<window>","backward-looking/current season",".UFEED_compute_season_summary_features",""
"TSOIL3_<EWMA_or_REWMA>_<window>_season_max","Level 2 seasonal summary","season_summary_features","Season-to-date maximum of EWMA/REWMA features derived from TSOIL3.","same as source variable","TSOIL3_EWMA_<window> or TSOIL3_REWMA_<window>","backward-looking/current season",".UFEED_compute_season_summary_features",""
"EVPTRNS_<EWMA_or_REWMA>_<window>_season_max","Level 2 seasonal summary","season_summary_features","Season-to-date maximum of EWMA/REWMA features derived from EVPTRNS.","same as source variable","EVPTRNS_EWMA_<window> or EVPTRNS_REWMA_<window>","backward-looking/current season",".UFEED_compute_season_summary_features",""
"T2M_MIN_<EWMA_or_REWMA>_<window>_season_min","Level 2 seasonal summary","season_summary_features","Season-to-date minimum of EWMA/REWMA features derived from T2M_MIN.","same as source variable","T2M_MIN_EWMA_<window> or T2M_MIN_REWMA_<window>","backward-looking/current season",".UFEED_compute_season_summary_features",""
"Daily_Temp_Fluctuation_<EWMA_or_REWMA>_<window>_season_min","Level 2 seasonal summary","season_summary_features","Season-to-date minimum of EWMA/REWMA features derived from Daily_Temp_Fluctuation.","same as source variable","Daily_Temp_Fluctuation_EWMA_<window> or Daily_Temp_Fluctuation_REWMA_<window>","backward-looking/current season",".UFEED_compute_season_summary_features",""
"GWETROOT_<EWMA_or_REWMA>_<window>_season_min","Level 2 seasonal summary","season_summary_features","Season-to-date minimum of EWMA/REWMA features derived from GWETROOT.","same as source variable","GWETROOT_EWMA_<window> or GWETROOT_REWMA_<window>","backward-looking/current season",".UFEED_compute_season_summary_features",""
"GWETTOP_<EWMA_or_REWMA>_<window>_season_min","Level 2 seasonal summary","season_summary_features","Season-to-date minimum of EWMA/REWMA features derived from GWETTOP.","same as source variable","GWETTOP_EWMA_<window> or GWETTOP_REWMA_<window>","backward-looking/current season",".UFEED_compute_season_summary_features",""
"TSOIL1_<EWMA_or_REWMA>_<window>_season_min","Level 2 seasonal summary","season_summary_features","Season-to-date minimum of EWMA/REWMA features derived from TSOIL1.","same as source variable","TSOIL1_EWMA_<window> or TSOIL1_REWMA_<window>","backward-looking/current season",".UFEED_compute_season_summary_features",""
"TSOIL3_<EWMA_or_REWMA>_<window>_season_min","Level 2 seasonal summary","season_summary_features","Season-to-date minimum of EWMA/REWMA features derived from TSOIL3.","same as source variable","TSOIL3_EWMA_<window> or TSOIL3_REWMA_<window>","backward-looking/current season",".UFEED_compute_season_summary_features",""
"EVPTRNS_<EWMA_or_REWMA>_<window>_season_min","Level 2 seasonal summary","season_summary_features","Season-to-date minimum of EWMA/REWMA features derived from EVPTRNS.","same as source variable","EVPTRNS_EWMA_<window> or EVPTRNS_REWMA_<window>","backward-looking/current season",".UFEED_compute_season_summary_features",""
